RK,NAME,,SALARY
368,Troy Daniels, SG,"$816,482"
369,Peyton Siva, PG,"$816,482"
370,Nick Calathes, SG,"$816,482"
RK,NAME,,SALARY
371,Ray McCallum, PG,"$816,482"
372,Carrick Felix, SG,"$816,482"
373,Jeff Withey, C,"$816,482"
374,Erik Jay Murphy, PF,"$816,482"
375,Mike Muscala, PF,"$816,482"
376,Hassan Whiteside, C,"$769,881"
377,Jeff Adrien, SF,"$742,962"
378,Jarnell Stokes, PF,"$725,000"
379,Dante Cunningham, PF,"$716,043"
380,Malcolm Lee, SG,"$710,659"
RK,NAME,,SALARY
381,Darius Morris, PG,"$702,756"
382,Spencer Dinwiddie, PG,"$700,000"
383,Malcolm Thomas, PF,"$635,827"
384,Gal Mekel, PG,"$633,974"
385,Johnny O'Bryant III, PF,"$600,000"
386,Keith Appling, PG,"$507,336"
387,Cleanthony Early, SF,"$507,336"
388,Russ Smith, PG,"$507,336"
389,Joe Ingles, SF,"$507,336"
390,Sim Bhullar, C,"$507,336"
RK,NAME,,SALARY
391,Cory Jefferson, PF,"$507,336"
392,Glenn Robinson III, SG,"$507,336"
393,James Ennis, SF,"$507,336"
394,Will Cherry, PG,"$495,399"
395,Kalin Lucas, PG,"$486,446"
396,Drew Gordon, C,"$468,540"
397,Kenyon Martin, PF,"$414,551"
398,Lou Amundson, PF,"$409,167"
399,Lance Thomas, SF,"$403,784"
400,Dahntay Jones, SG,"$387,632"
401,Patrick Christopher, SG,"$379,010"
402,Ronald Roberts Jr., PF,"$373,041"
403,Reggie Williams, SF,"$344,036"
404,Amar'e Stoudemire, PF,"$306,876"
405,Lorenzo Brown, PG,"$283,367"
406,Kendrick Perkins, C,"$274,573"
407,John Lucas III, PG,"$269,189"
408,Elijah Millsap, SG,"$241,731"
409,Bernard James, C,"$236,886"
410,Langston Galloway, SG,"$235,762"
RK,NAME,,SALARY
411,Tyler Johnson, SG,"$199,950"
412,Henry Walker, SF,"$196,217"
413,Michael Beasley, SF,"$195,440"
414,Quincy Miller, SF,"$183,049"
415,Earl Barron, C,"$183,049"
416,James Michael McAdoo, SF,"$167,122"
417,Jordan Hamilton, SG,"$150,591"
418,JaMychal Green, PF,"$134,295"
419,Elliot Williams, SG,"$107,676"
420,Nate Robinson, PG,"$107,676"
RK,NAME,,SALARY
421,Toney Douglas, PG,"$107,676"
422,Jorge Gutierrez, PG,"$96,056"
423,Toure' Murry, SF,"$96,056"
424,Bryce Cotton, PG,"$92,514"
425,Jabari Brown, SG,"$59,686"
426,Jack Cooley, SF,"$59,686"
427,Tim Frazier, PG,"$59,686"
428,Tyrus Thomas, PF,"$53,838"
429,A.J. Price, PG,"$53,838"
430,Austin Daye, SF,"$53,838"
RK,NAME,,SALARY
431,Seth Curry, SG,"$48,028"
432,Ricky Ledo, SG,"$48,028"
433,Andre Dawkins, SG,"$29,843"
434,David Stockton, PG,"$29,483"
